school_name,coordinates,school
fundamental_studies,"55.60718413177879, 37.597617957257725",1
Rossiyski_univirsity,"55.65645846006422, 37.49973528587434",2
MSU,"55.708797864704465, 37.526980977908885",3
State_institute,"55.71021915371424, 37.72829636905306",4
????????????,"55.7332368332083, 37.82113354191152",5
Eastern_european,"55.81780244267682, 37.37006597379174",6
Electronics_and_maths,"55.74030842302061, 37.62499004596795",7
