iter	RMSE
0	0.2911123927
1	0.2679055259
2	0.247305843
3	0.2281618147
4	0.2123032336
5	0.1978514782
6	0.1842764874
7	0.1721276966
8	0.1612524724
9	0.1516271421
10	0.1432437088
11	0.1355284549
12	0.1287429917
13	0.1229977384
14	0.1178377683
15	0.1130309359
16	0.1088425272
17	0.1049971375
18	0.1016834552
19	0.09864384899
20	0.09608512978
21	0.09373503359
22	0.09174652591
23	0.08974071824
24	0.08798574907
25	0.08646357719
26	0.0849973683
27	0.08406170216
28	0.08300869327
29	0.08192873259
30	0.08072390839
31	0.07960564448
32	0.07864549201
33	0.0775206567
34	0.07631035247
35	0.07519849486
36	0.0742633542
37	0.07342946056
38	0.07263399655
39	0.07194263375
40	0.07136291846
41	0.07071025021
42	0.06975189868
43	0.06953615101
44	0.06895345272
45	0.06866072871
46	0.06818592195
47	0.06736666535
48	0.0669897376
49	0.06669355058
50	0.06625712261
51	0.06585607288
52	0.06562011834
53	0.06519810966
54	0.06492945787
55	0.06452344256
56	0.0642731391
57	0.06386470613
58	0.06355419295
59	0.06306599104
60	0.06274825233
61	0.06254604401
62	0.062350779
63	0.06196417754
64	0.06151220627
65	0.06120876484
66	0.06093002269
67	0.06066748176
68	0.06046054556
69	0.06019768656
70	0.05960236414
71	0.05930691443
72	0.05894104723
73	0.05869084069
74	0.05845833151
75	0.05833570574
76	0.05813552287
77	0.05787310069
78	0.05775990128
79	0.05752814653
80	0.05733082428
81	0.05709125261
82	0.05692183268
83	0.05673361857
84	0.05659883201
85	0.05637180554
86	0.05628420615
87	0.05613149723
88	0.05592289077
89	0.0557774783
90	0.05561194674
91	0.05541396223
92	0.05530829917
93	0.05509836561
94	0.05502370928
95	0.05489886841
96	0.05489611621
97	0.05466804422
98	0.05462766013
99	0.05438544914
100	0.05416125867
101	0.05406173487
102	0.05395528165
103	0.05385724638
104	0.05368204034
105	0.05353592099
106	0.05339494943
107	0.05323228874
108	0.05300826447
109	0.052912942
110	0.05275563828
111	0.0524903858
112	0.05236083348
113	0.05215904243
114	0.05204360369
115	0.0518878928
116	0.05172185685
117	0.05156692737
118	0.05143238695
119	0.05124745736
120	0.05113699509
121	0.05100696288
122	0.05091667024
123	0.05074001868
124	0.05055889568
125	0.05050150702
126	0.05035270104
127	0.05014632709
128	0.05005095574
129	0.04992024293
130	0.04975324779
131	0.04961615205
132	0.04951695724
133	0.04946707087
134	0.04939209104
135	0.04925377016
136	0.04903870645
137	0.04879876311
138	0.0487113657
139	0.04858744048
140	0.04853667515
141	0.04841578158
142	0.04825960142
143	0.04808384654
144	0.04799830872
145	0.0479048838
146	0.04781554738
147	0.04775361903
148	0.04764351727
149	0.04747491313
150	0.04735304879
151	0.04726833624
152	0.04699146473
153	0.0469502181
154	0.04689498034
155	0.04677129004
156	0.04669948064
157	0.04669493305
158	0.04656871706
159	0.04643371729
160	0.04633788044
161	0.04618427132
162	0.04614618595
163	0.04604435181
164	0.04595723581
165	0.04592015249
166	0.04579009567
167	0.04567503901
168	0.04557174905
169	0.04533436518
170	0.04525639023
171	0.04517863074
172	0.04511243612
173	0.04500700685
174	0.04500426328
175	0.04488435409
176	0.0448375863
177	0.0447840364
178	0.04473654374
179	0.04460838909
180	0.04456341767
181	0.04450920085
182	0.04441974698
183	0.04435160884
184	0.04426491676
185	0.04417484939
186	0.04410057831
187	0.04409918158
188	0.04403573401
189	0.04393936818
190	0.04390965349
191	0.04382237588
192	0.04372138849
193	0.04371752952
194	0.0436598299
195	0.04358063797
196	0.04350368942
197	0.04339974871
198	0.04328842542
199	0.04322723505
